,PC1,PC2
1983-03-16 11:59:00,2119.3672916882674,2002.6081100821013
1983-04-16 11:59:00,1804.8086415271662,2746.2203209164186
1983-05-16 11:59:00,-1831.8421149914182,1891.694971216957
1983-06-16 11:59:00,458.9794088257833,1168.9379986432239
1983-07-16 11:59:00,626.7689954201262,4520.05138545975
1983-08-16 11:59:00,-222.3750277640282,4169.392089645123
1983-09-16 11:59:00,480.5980720746357,5235.617290145429
1983-10-16 11:59:00,621.1833617513164,3558.653536470318
1983-11-16 11:59:00,-1397.038702149423,1381.117142947235
1983-12-16 11:59:00,1367.654820184303,1581.8521268881443
1984-01-16 11:59:00,363.4650646493547,859.0710578368183
1984-02-16 11:59:00,3520.5865807637992,2095.5397979759714
1984-03-16 11:59:00,1293.0295161389759,1680.4131291713368
1984-04-16 11:59:00,928.1769949162913,1277.8735241832217
1984-05-16 11:59:00,-3230.8820293004196,666.5447749882368
1984-06-16 11:59:00,-5731.349788349739,4055.7337385929422
1984-07-16 11:59:00,940.3405129598896,5966.899550280491
1984-08-16 11:59:00,865.3264994764565,3975.13871771373
1984-09-16 11:59:00,948.3874506897953,4287.456850104713
1984-10-16 11:59:00,383.2282346616992,5126.085524795987
1984-11-16 11:59:00,3174.3325758077167,3998.6806744106693
1984-12-16 11:59:00,2602.958663515974,2284.939764885545
1985-01-16 11:59:00,2533.5159729590478,2402.761383985599
1985-02-16 11:59:00,-334.5483625121957,999.8094124483101
1985-03-16 11:59:00,1870.921677405718,1366.9069625774039
1985-04-16 11:59:00,-175.44411226670576,2273.104264006127
1985-05-16 11:59:00,-5657.377572475933,-737.4809691923008
1985-06-16 11:59:00,-2824.9483513303717,2605.8087023210996
1985-07-16 11:59:00,1547.0807535192328,2023.4575671705863
1985-08-16 11:59:00,895.6033685242519,4715.644861429829
1985-09-16 11:59:00,1466.9157335985683,1208.53276652289
1985-10-16 11:59:00,934.0249765747603,6032.662894851508
1985-11-16 11:59:00,1881.8142930516376,6019.645038466432
1985-12-16 11:59:00,3504.3933932078953,817.0757900742587
