Date,ENSO,ENSO_filtered,IOD,IOD_filtered,PDO,PDO_filtered,IPO,IPO_filtered
1949-04-01,0.19,-0.23487603305785124,0.165,-0.18454545454545457,-1.208,-0.609297520661157,-0.077,-0.30691735537190085
1949-05-01,-0.07,-0.24016528925619837,-0.091,-0.187099173553719,-0.918,-0.6073884297520661,-0.224,-0.31242975206611573
1949-06-01,-0.72,-0.24793388429752064,-0.009,-0.19360330578512394,-0.753,-0.5927851239669422,-0.496,-0.31420661157024793
1949-07-01,-0.39,-0.25669421487603306,-0.009,-0.1997272727272727,-0.898,-0.578297520661157,-0.362,-0.31797520661157025
1949-08-01,-0.32,-0.26628099173553715,0.011,-0.20538016528925618,-0.987,-0.5678512396694215,-0.491,-0.3240743801652893
1949-09-01,-0.65,-0.27479338842975204,-0.09,-0.21173553719008265,-0.948,-0.5681983471074381,-1.008,-0.3298181818181818
1949-10-01,-0.72,-0.2797520661157024,-0.124,-0.21865289256198348,-1.574,-0.5556694214876033,-1.11,-0.3333884297520661
1949-11-01,-1.33,-0.28760330578512394,-0.396,-0.21741322314049588,-0.767,-0.5401074380165288,-1.352,-0.3366776859504132
1949-12-01,-1.2,-0.29123966942148755,-0.331,-0.21579338842975207,-0.699,-0.5331404958677687,-1.013,-0.33978512396694216
1950-01-01,-1.05,-0.29454545454545455,-0.044,-0.21767768595041323,-1.317,-0.530809917355372,-0.986,-0.3397107438016529
1950-02-01,-1.5,-0.298099173553719,-0.554,-0.21778512396694216,-1.654,-0.5365867768595042,-1.354,-0.34154545454545454
1950-03-01,-1.07,-0.3008264462809917,-0.692,-0.2183719008264463,-1.346,-0.543892561983471,-1.131,-0.3452727272727273
